utt_id,text,context,speaker,show,label,split
2_174,Oh! Satan's minions at work again?,And there's five hundred extra dollars in my account.,CHANDLER,FRIENDS,1,train
1_4281,It was the kind of thing that makes it kind of hard to face her now.,"You never told me what happened between you and Bernadette. I did a stupid thing. Yeah, I guessed that.",HOWARD,BBT,0,train
1_11098,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.","I don't suppose you also brought napkins, clean bowls, utensils and a roll of toilet paper. Right here. You guys are the best. What's with the clothes? Well, with all the new stuff I bought for work, I needed to make room in my closet. I meant why are they folded? 
But whatever. Ooh, what's this? That, believe it or not, is my prom dress.",BERNADETTE,BBT,1,train
2_2,"ThatÕs a good one too Pheebs, now all that I have to do is find a plane load of people whose resolution is to plummet to their deaths",That's a good one. Mine is to pilot a commercial jet.,CHANDLER,FRIENDS,1,train
2_58,Why?,"Welcome back! Hey!  Can we pick up where we left off? I don't know, I'm still pretty tired out from this afternoon.",PHOEBE,FRIENDS,0,train
1_7402,I didn't know they gave Nobel prizes for making boom-boom in the potty.,"the paper was rejected, but recently, he was proven right. And now he's on the fast track to win a Nobel prize. Yeah, that's basically what I said. The point is Higgs is being celebrated for work he did 50 years ago, so that got me thinking, perhaps I've already hit upon the idea that will win me my Nobel prize.",LEONARD,BBT,1,train
2_84,"If that doesn't keep kids in school, what will?","Two week straight and she hasn't smoked since. So how did you guys meet? Oh I was in Mrs. Knight's oh I mean Alice, I was in her Home ED class. And he was my best student. Yes she was my best teacher.",CHANDLER,FRIENDS,1,train
1_4995,"Hey, you taught me something. Who would have thought it?","Why not? It seems like you're improvising your entire curriculum. This is all about listening and responding. Gotcha. I'm going to create a character and a situation, and you just jump in when you feel it. All right. All right. Action. Okay, it's not a movie. It's improv. So no one calls ""action.""",SHELDON,BBT,1,train
2_124,I am so confused as to what we have been doing so far.,"Thirty seconds all the questions we can answer You guys are dead, I am so good in lightning rounds. I majored in lightning rounds, alright! We are gonna destroy you! Wanna bet?",CHANDLER,FRIENDS,1,train
2_232,"Well, umm, my Mom's friend, Phoebe, is actually my birth Mom.","Oh, I'll go out and get you some. Really?! Nope! Because I'm not your boyfriend. Hey Pheebs, how did it go?",PHOEBE,FRIENDS,0,train
1_427,"Well, I'm sorry, too, but there's just no room for you in my wallet.","This is Dr. Sheldon Cooper. Yeah, I need to cancel my membership to the planetarium.",SHELDON,BBT,1,train
